"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:3H8VT8INfsTcvD73WWqSM5","Dear Caramel","spotify:artist:0BpbTGO68X4wV2aLBzjnhL, spotify:artist:1jpRO6feBr1rjOCSHzu3Xi","LambC, Choi Jungyoon","spotify:album:0fYkcK5aT1o6mzFsKWxZxI","Absence 'Side A'","spotify:artist:0BpbTGO68X4wV2aLBzjnhL","LambC","2017-03-07","https://i.scdn.co/image/ab67616d0000b273d31999ea991c8ce68e218319","1","3","245674","https://p.scdn.co/mp3-preview/41a7c431ca455d7a8b179f92d32af507207067fa?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","KRNAR1701461","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2023-06-06T03:17:20Z"
"spotify:track:5zhMMVw097YOSvT0oDGgDV","zombie pop","spotify:artist:2o8gT0fQmFxGNbowbdgeZe","DPR IAN","spotify:album:1qpS7W0whJPG7b8PlhSgGw","DPR ARCHIVES","spotify:artist:0siBQaURCli5wn2lqv8WZg, spotify:artist:2o8gT0fQmFxGNbowbdgeZe, spotify:artist:7bPplWv4cZ1q26UY2Wmcvw","DPR LIVE, DPR IAN, DPR CREAM","2020-06-18","https://i.scdn.co/image/ab67616d0000b27335028642fcc7d80a4e96f31b","1","11","114380","https://p.scdn.co/mp3-preview/04c2d46ebc42e6d2538eba7cc4c84d00e2886ccb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","QM6P42009809","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2023-06-06T03:17:28Z"
"spotify:track:0XRbYXQUymj9SJkrr8YK5B","Keep Ya Head Up","spotify:artist:1ZwdS5xdxEREPySFridCfh","2Pac","spotify:album:7FK1855C3n1Q0RKbmvl7ll","Strictly 4 My N.I.G.G.A.Z...","spotify:artist:1ZwdS5xdxEREPySFridCfh","2Pac","1993-02-16","https://i.scdn.co/image/ab67616d0000b2737f6f6c9e4b492a3d7e910d82","1","11","262506","","true","68","USIR19300813","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2023-07-14T16:58:07Z"
"spotify:track:7GqWnsKhMtEW0nzki5o0d8","Killer Queen - Remastered 2011","spotify:artist:1dfeR4HaWDbWqFHLkxsg1d","Queen","spotify:album:6RJyYMIrOtx3VnNIoq31kj","Sheer Heart Attack (Deluxe Remastered Version)","spotify:artist:1dfeR4HaWDbWqFHLkxsg1d","Queen","1974-11-08","https://i.scdn.co/image/ab67616d0000b27359998815d706661e2c404d9f","1","2","179600","","false","69","GBUM71029606","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2023-07-14T16:58:17Z"
"spotify:track:3OP9la2QTA5artehqjFJCp","Koinu no Carnival -From ""Minute Waltz""-","spotify:artist:2MyhU8E2SRCcHIN6FtagQR","EHAMIC","spotify:album:0Q7zeUnaYrjTi3am2ceK4N","""Classicaloid"" Chopin Musik","spotify:artist:2MyhU8E2SRCcHIN6FtagQR","EHAMIC","2018-10-04","https://i.scdn.co/image/ab67616d0000b273f2829699bddbc5a884027ea1","1","4","190460","https://p.scdn.co/mp3-preview/019d69402407fa2c5703539856561a8552518c91?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","JPG531701107","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2023-07-14T16:58:21Z"
"spotify:track:2u9VGZmVz7Rm01SfDgzcfA","Liebestraum No. 3 in A-Flat Major, S. 541 / 3","spotify:artist:1385hLNbrnbCJGokfH2ac2, spotify:artist:1YZhNFBxkEB5UKTgMDvot4","Franz Liszt, Lang Lang","spotify:album:39Hh5k01di42nUCLn8Wxqu","Liszt - My Piano Hero","spotify:artist:1385hLNbrnbCJGokfH2ac2, spotify:artist:1YZhNFBxkEB5UKTgMDvot4","Franz Liszt, Lang Lang","2011-07-25","https://i.scdn.co/image/ab67616d0000b273dc7e831d880de1c90d621379","1","5","293146","https://p.scdn.co/mp3-preview/a3f2cb8e5bc8f64631d7087fc779e1d7ec3515ae?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","USSM11103277","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2023-07-14T16:58:57Z"
"spotify:track:1tyRcpkE4h4t9m7rnbTmQj","On Prophets","spotify:artist:0OTbmw4nbgWHiTyqhmz72s","John Roseboro","spotify:album:77vTKI505ZYV5QiXvMHYu6","On Prophets","spotify:artist:0OTbmw4nbgWHiTyqhmz72s","John Roseboro","2020-11-15","https://i.scdn.co/image/ab67616d0000b27322c11c3292adf11d1f5e878d","1","1","137309","https://p.scdn.co/mp3-preview/6d2f8ba91591275f7600f90d82150985d08eea29?cid=9950ac751e34487dbbe027c4fd7f8e99","false","13","QZMEP2070996","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2023-07-14T17:06:08Z"
"spotify:track:51Grh1RyUDcMBbpuyUIUHI","rises the moon","spotify:artist:5zVu34ozw0BzXIcNHqkO0u","Liana Flores","spotify:album:295qW3R6DSM1WfePwUpgux","recently","spotify:artist:5zVu34ozw0BzXIcNHqkO0u","Liana Flores","2019-04-10","https://i.scdn.co/image/ab67616d0000b2737e4192ad68817a0460a6fa71","1","1","161929","https://p.scdn.co/mp3-preview/8c17fd7d24c1f7fd551f7edc0f71054a9340fb3b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","QZDA61986777","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2023-07-14T17:08:35Z"
"spotify:track:7HbJiOw9TePjIcvvHCeWRc","Shake Back","spotify:artist:46SHBwWsqBkxI7EeeBEQG7","Kodak Black","spotify:album:4J5QtgOhv6tPCsxxifVskj","Institution","spotify:artist:46SHBwWsqBkxI7EeeBEQG7","Kodak Black","2015-12-26","https://i.scdn.co/image/ab67616d0000b27325dc1c32dbdd14b8049a3b3f","1","11","183562","https://p.scdn.co/mp3-preview/185166e249b775334b53e5198867f84051d65152?cid=9950ac751e34487dbbe027c4fd7f8e99","true","61","USUYG1105699","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2023-07-14T17:09:17Z"
"spotify:track:14YAS5RajiY0lthkWiOzjG","Waters of March","spotify:artist:0OTbmw4nbgWHiTyqhmz72s, spotify:artist:3Cp20KSVlMlFuOdqiqHFGR","John Roseboro, Mei Semones","spotify:album:22JzxBeZuH4jjUsP7MntyA","Waters of March","spotify:artist:0OTbmw4nbgWHiTyqhmz72s, spotify:artist:3Cp20KSVlMlFuOdqiqHFGR","John Roseboro, Mei Semones","2023-03-30","https://i.scdn.co/image/ab67616d0000b273121ca39cfb16cbb234a1aa40","1","1","230818","https://p.scdn.co/mp3-preview/29c4af5b422581a12724b5ff76e7894c5ab168b2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","QZES92322837","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2023-07-14T17:14:04Z"
