"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:2tr3bmoQBQrLHUYxsg8LpF","Drella","spotify:artist:4iJLPqClelZOBCBifm8Fzv","Pierce The Veil","spotify:album:6LkthUHeWKSJsXhjs7SXFq","A Flair For The Dramatic","spotify:artist:4iJLPqClelZOBCBifm8Fzv","Pierce The Veil","2007","https://i.scdn.co/image/ab67616d0000b273d2d0137c32938ae8cb44e0ca","1","9","176960","https://p.scdn.co/mp3-preview/6bd9e4d2960a620d8f38f60eda5285adde20da56?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","US3X50713209","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2022-07-21T04:06:51Z"
"spotify:track:51rIDh0FOCNCFkdbtIOyU0","Yeah Boy and Doll Face","spotify:artist:4iJLPqClelZOBCBifm8Fzv","Pierce The Veil","spotify:album:6LkthUHeWKSJsXhjs7SXFq","A Flair For The Dramatic","spotify:artist:4iJLPqClelZOBCBifm8Fzv","Pierce The Veil","2007","https://i.scdn.co/image/ab67616d0000b273d2d0137c32938ae8cb44e0ca","1","3","264413","https://p.scdn.co/mp3-preview/d0fb8873efe744a56f643dbedd4d620addac4006?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","US3X50713203","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2022-07-21T04:07:29Z"
"spotify:track:0XsbCr34semDxq0ZX84BCh","Easy Living","spotify:artist:1YzCsTRb22dQkh9lghPIrp","Billie Holiday","spotify:album:3MXpFQDq1cTE4WfGZDAsY4","Billie Holiday Love Songs","spotify:artist:1YzCsTRb22dQkh9lghPIrp","Billie Holiday","1996-01-30","https://i.scdn.co/image/ab67616d0000b2738d959ef68a66dd3cc9944c5c","1","6","181333","https://p.scdn.co/mp3-preview/2fbfa790bd5a8b57b96c8352892275e4ce69af0f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","USSM13700008","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2022-07-21T04:08:23Z"
"spotify:track:2k3fs1S5gYqwzN8G2QDXiJ","Chemical Kids and Mechanical Brides","spotify:artist:4iJLPqClelZOBCBifm8Fzv","Pierce The Veil","spotify:album:6LkthUHeWKSJsXhjs7SXFq","A Flair For The Dramatic","spotify:artist:4iJLPqClelZOBCBifm8Fzv","Pierce The Veil","2007","https://i.scdn.co/image/ab67616d0000b273d2d0137c32938ae8cb44e0ca","1","1","220653","https://p.scdn.co/mp3-preview/4ccd81213118764ef09736f8429e1cd24fa0001d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","US3X50713201","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2022-07-21T04:09:49Z"
"spotify:track:69okqylQdHUe90a70Q2ued","I Don't Care If You're Contagious","spotify:artist:4iJLPqClelZOBCBifm8Fzv","Pierce The Veil","spotify:album:6F05ZwnERzhfJ7KNVq6fsU","Selfish Machines (Reissue)","spotify:artist:4iJLPqClelZOBCBifm8Fzv","Pierce The Veil","2013-09-24","https://i.scdn.co/image/ab67616d0000b2733c8674afa47336f571b13ebd","1","9","205315","https://p.scdn.co/mp3-preview/1a1fdc82cc55c1057e068c5d62fa9547deb02520?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","US3X51025909","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2022-07-21T04:12:04Z"
"spotify:local:::Stall+Me:189","Stall Me","","","","","","","","","0","0","189000","","false","0","","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2022-07-21T04:16:37Z"
"spotify:track:46Kcradxrva9Dny4lHU1b3","Miss Jackson (feat. LOLO)","spotify:artist:20JZFwl6HVl6yg8a4H3ZqK, spotify:artist:0H0OkFxp022WOyKlt3HmlA","Panic! At The Disco, LOLO","spotify:album:1hxraaWEf3wFnJxADf8Dge","Too Weird to Live, Too Rare to Die!","spotify:artist:20JZFwl6HVl6yg8a4H3ZqK","Panic! At The Disco","2013-10-04","https://i.scdn.co/image/ab67616d0000b2733d01f39642426b65217fbe21","1","2","192053","https://p.scdn.co/mp3-preview/52baf569bbdf8da82e805dfc6df765aa50a709fb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","USAT21301974","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2022-07-21T04:17:44Z"
"spotify:track:6KarkdG6uQw710E0yNTXCS","Caught off Guard","spotify:artist:77yY2QmM6bYvjJ3y5L2R0v","Jeremy Soule","spotify:album:25r7pEf31viAbsoVHC6bQ4","The Elder Scrolls V: Skyrim: Original Game Soundtrack","spotify:artist:77yY2QmM6bYvjJ3y5L2R0v","Jeremy Soule","2013-01-31","https://i.scdn.co/image/ab67616d0000b273ccc3b356646cd2d89d880a0a","1","40","70608","https://p.scdn.co/mp3-preview/561bed976d40409ac008b0d7724a828cabec73b1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","QMTH31100060","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2022-07-21T04:19:28Z"
"spotify:track:2ZqTtndqAZDRAWw2vgZwQK","But It's Better If You Do","spotify:artist:20JZFwl6HVl6yg8a4H3ZqK","Panic! At The Disco","spotify:album:2YeOhhJg3OWpN0F1VYPxtW","A Fever You Can't Sweat Out","spotify:artist:20JZFwl6HVl6yg8a4H3ZqK","Panic! At The Disco","2005-09-27","https://i.scdn.co/image/ab67616d0000b2730a8881b0d247346c3c447bf3","1","9","205752","https://p.scdn.co/mp3-preview/8413cc16d806afed0fb6be1c26838839d7aa3be7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","US56V0507709","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2022-07-21T04:22:59Z"
"spotify:track:4bPQs0PHn4xbipzdPfn6du","I Write Sins Not Tragedies","spotify:artist:20JZFwl6HVl6yg8a4H3ZqK","Panic! At The Disco","spotify:album:2YeOhhJg3OWpN0F1VYPxtW","A Fever You Can't Sweat Out","spotify:artist:20JZFwl6HVl6yg8a4H3ZqK","Panic! At The Disco","2005-09-27","https://i.scdn.co/image/ab67616d0000b2730a8881b0d247346c3c447bf3","1","10","186634","https://p.scdn.co/mp3-preview/c547151649f25d0145a74d04c77530ff6111b11c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","US56V0507710","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2022-07-21T04:23:05Z"
"spotify:track:4rstj4vgkFq49R2VV0fbxX","Build God, Then We'll Talk","spotify:artist:20JZFwl6HVl6yg8a4H3ZqK","Panic! At The Disco","spotify:album:2YeOhhJg3OWpN0F1VYPxtW","A Fever You Can't Sweat Out","spotify:artist:20JZFwl6HVl6yg8a4H3ZqK","Panic! At The Disco","2005-09-27","https://i.scdn.co/image/ab67616d0000b2730a8881b0d247346c3c447bf3","1","13","220720","https://p.scdn.co/mp3-preview/b709dc14009119d3d9c033d70cb31f85b4d06a8b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","US56V0507713","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2022-07-21T04:23:15Z"
"spotify:track:5OhLBEgXp9TPGlnFw5pXeK","Besitos","spotify:artist:4iJLPqClelZOBCBifm8Fzv","Pierce The Veil","spotify:album:01dcOm8Whefyve6zChrq9Q","Selfish Machines","spotify:artist:4iJLPqClelZOBCBifm8Fzv","Pierce The Veil","2010-06-21","https://i.scdn.co/image/ab67616d0000b2735eae69bbe37d5f382155e387","1","1","262800","https://p.scdn.co/mp3-preview/a02367a964e3254f55b85f07b0b3283c84c3bb81?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","US3X51016101","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2022-07-21T04:23:31Z"
