"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:7LN1f9jAIu7yxBzsLMN7RB","넘어와 (Feat. 백예린)","spotify:artist:3eCd0TZrBPm2n9cDG6yWfF, spotify:artist:6dhfy4ByARPJdPtMyrUYJK","DEAN, Yerin Baek","spotify:album:48ScAfcD1Dy3gMPhjhTzek","Limbo","spotify:artist:3eCd0TZrBPm2n9cDG6yWfF","DEAN","2017-02-17","https://i.scdn.co/image/ab67616d0000b2739a4616cc6ce6c1aa0c265d8d","1","2","266137","","false","47","KRUM71700061","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2022-07-21T03:59:26Z"
"spotify:track:7pnBMz4MiFIwFXSa4nSJcJ","Love Like That","spotify:artist:0BpbTGO68X4wV2aLBzjnhL","LambC","spotify:album:6oQOkflhTjqX5Igl8Lwqv4","Absence 'Side A'","spotify:artist:0BpbTGO68X4wV2aLBzjnhL","LambC","2017-03-07","https://i.scdn.co/image/ab67616d0000b2732971e6b96551817a16508b06","1","1","214400","https://p.scdn.co/mp3-preview/80122b691c447b16ba9d46e818ff0d1912b0059a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","KRNAR1701459","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2022-07-21T03:59:47Z"
"spotify:track:1XslqSASDWaMZdjhWa7Jb7","Bye Bye My Blue","spotify:artist:6dhfy4ByARPJdPtMyrUYJK","Yerin Baek","spotify:album:22qM69DGAvUsSyQfVh8Lgm","Bye Bye My Blue","spotify:artist:6dhfy4ByARPJdPtMyrUYJK","Yerin Baek","2016-06-20","https://i.scdn.co/image/ab67616d0000b273b9aea3c24941166131a8c8b8","1","1","203409","https://p.scdn.co/mp3-preview/7964ef2bccdb20879632bb51c878fe9a0eccebd1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","US5TA1600031","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2022-07-21T04:03:53Z"
"spotify:track:4NqiiK63rKwYTwHpPhmC61","어때","spotify:artist:3eCd0TZrBPm2n9cDG6yWfF","DEAN","spotify:album:1MW3txTS49ZGvyLi0fziLU","130 Mood : TRBL","spotify:artist:3eCd0TZrBPm2n9cDG6yWfF","DEAN","2016-03-25","https://i.scdn.co/image/ab67616d0000b27318974569625e8449a5497ef3","1","1","133287","","true","43","KRUM71600034","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2022-07-21T04:04:28Z"
"spotify:track:6kKC35sKUh2FUx4M0qAL44","Candy","spotify:artist:4ufh0WuMZh6y4Dmdnklvdl","BAEKHYUN","spotify:album:75sPv82oaDKYjtuuS4l3Vc","Delight - The 2nd Mini Album","spotify:artist:4ufh0WuMZh6y4Dmdnklvdl","BAEKHYUN","2020-05-25","https://i.scdn.co/image/ab67616d0000b273a280844e6f3397b0632ff64f","1","1","227173","https://p.scdn.co/mp3-preview/e6fb1514c9f6795c9ae9033b7a66b248500888ee?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","KRA302000267","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2022-07-21T04:05:59Z"
"spotify:track:1MxqOMhiFqB2FEb1bQOQiK","Things are going well","spotify:artist:5dCvSnVduaFleCnyy98JMo","HEIZE","spotify:album:0EMhcFdM4qy85rwwqOttww","Lyricist","spotify:artist:5dCvSnVduaFleCnyy98JMo","HEIZE","2020-06-10","https://i.scdn.co/image/ab67616d0000b273d145a092204f14b0fbc70649","1","2","201133","https://p.scdn.co/mp3-preview/a30936bde97db919d30f71f9feffd65ee25edd45?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","KRA492000666","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2022-07-21T04:13:49Z"
"spotify:track:3eHkFA3StDR9BU7EVrUFLs","WINE (Feat.Changmo) (Prod. SUGA)","spotify:artist:1mORehSVEd7lcaT2d7Sl2K, spotify:artist:3hvinNZRzTLoREmqFiKr1b","SURAN, CHANGMO","spotify:album:26adxLsliyYcCfVTF6xA75","WINE","spotify:artist:1mORehSVEd7lcaT2d7Sl2K","SURAN","2017-04-27","https://i.scdn.co/image/ab67616d0000b2732c0252c4e4a988f024e4d262","1","1","232194","https://p.scdn.co/mp3-preview/7a423aaa27b23140dd01cfc4acdb2ac6439f624c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","KRA381700927","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2022-07-21T04:14:14Z"
"spotify:track:6QfnvcOKsdN4Q6exUWVuzn","Ohio Is for Lovers","spotify:artist:126FigDBtqwS2YsOYMTPQe","Hawthorne Heights","spotify:album:1FPDKmotHS1ESWAgjUEqh2","The Silence In Black and White - Re-Issue","spotify:artist:126FigDBtqwS2YsOYMTPQe","Hawthorne Heights","2004","https://i.scdn.co/image/ab67616d0000b273a727d17633dba7508f812c25","1","8","244480","","false","17","USVIC0525008","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2022-07-21T04:14:41Z"
"spotify:track:79oQb66jALYYKX1hn4qs4p","I Slept With Someone In Fall Out Boy And All I Got Was This Stupid Song Written About Me","spotify:artist:4UXqAaa6dQYAk18Lv7PEgX","Fall Out Boy","spotify:album:5nkUSlIhtoJZMOUlB0sNCp","From Under The Cork Tree","spotify:artist:4UXqAaa6dQYAk18Lv7PEgX","Fall Out Boy","2005-05-03","https://i.scdn.co/image/ab67616d0000b27371565eda831124be86c603d5","1","10","211493","","false","52","USIR20500323","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2022-07-21T04:15:13Z"
"spotify:track:2sXEt6xhBXrefqPqNTyQNr","She’s a Baby","spotify:artist:4XpUIb8uuNlIWVKmgKZXC0","ZICO","spotify:album:7kFROFICBIcfZezYQo2Cgx","She's a Baby","spotify:artist:4XpUIb8uuNlIWVKmgKZXC0","ZICO","2017-04-13","https://i.scdn.co/image/ab67616d0000b27300e8b0b1a1042d219476fa30","1","1","164980","https://p.scdn.co/mp3-preview/8101d8967e8f94073d214abf23d61f6b4134bc5b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","KRC491700007","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2022-07-21T04:15:37Z"
"spotify:track:78bSWIqoNPdJB8QpCVkv0K","Unfair","spotify:artist:3cjEqqelV9zb4BYE3qDQ4O","EXO","spotify:album:1eGKfrv3zUriBWbPOFKKxq","SING FOR YOU - Winter Special Album, 2015","spotify:artist:3cjEqqelV9zb4BYE3qDQ4O","EXO","2015-12-10","https://i.scdn.co/image/ab67616d0000b273ba97a28e1fc4602b1d96bdba","1","1","182321","https://p.scdn.co/mp3-preview/7371c831dbcf844e17f67a8895dd3b085af06ded?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","KRA301500661","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2022-07-21T04:15:51Z"
"spotify:track:1OfD8j8vYuAhzB12BtR5xu","Crush - Reprise Version","spotify:artist:1dOMFM5wDNsENQQW0nl0K8","Urban Zakapa","spotify:album:6czXSOxLLaB5NowmABPTdl","[01]","spotify:artist:1dOMFM5wDNsENQQW0nl0K8","Urban Zakapa","2011-05-17","https://i.scdn.co/image/ab67616d0000b273551907171a49c2a7f428873f","1","4","247092","https://p.scdn.co/mp3-preview/254b9c943c41c4b8de4df2388d46127634df8741?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","KRA531134004","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2022-07-21T04:15:59Z"
"spotify:track:5aRxvrY42SB8J18ANU25Ds","30분 전 (with. GRAM)","spotify:artist:5fx7SHPVQo1fBGuOAwNWLw, spotify:artist:2qKhaMe5cOdQinPWBXyCHF","황예, GRAM","spotify:album:6iQQCXKv7ckkOMai5XEiGv","18.58","spotify:artist:5fx7SHPVQo1fBGuOAwNWLw","황예","2018-08-08","https://i.scdn.co/image/ab67616d0000b27313ce6e7d6179d97b8422602d","1","1","204446","https://p.scdn.co/mp3-preview/c2973f0696506895d6a111560e5024e9209f5f0f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","KRA341767645","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2022-07-21T04:16:50Z"
"spotify:track:3tP6QKbXvtrxiDI7QwKyUf","STAY","spotify:artist:41MozSoPIsD1dJM0CLPjZF","BLACKPINK","spotify:album:2Fna4Tb7fme5aHsNMJtVtp","SQUARE TWO","spotify:artist:41MozSoPIsD1dJM0CLPjZF","BLACKPINK","2016-11-01","https://i.scdn.co/image/ab67616d0000b27318a4a215052e9f396864bd73","1","2","230322","https://p.scdn.co/mp3-preview/e6ab27807fc492dea594af6a2a7b49367775fcd7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","KRA401600237","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2022-07-21T04:17:39Z"
"spotify:track:0aLqNqF7BeSrMBHoWj0aba","나빠","spotify:artist:6aLdhHUqgdKE86xbtNmY8g","Crush","spotify:album:7jy0XcjGijC0ewn9eYb1fy","나빠","spotify:artist:6aLdhHUqgdKE86xbtNmY8g","Crush","2019-08-28","https://i.scdn.co/image/ab67616d0000b2734abde1f8cf417415b5f9e115","1","1","194040","https://p.scdn.co/mp3-preview/5e547b7842bd2f4e624e47684635f0a1cfa3a394?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","QMEU31917088","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2022-07-21T04:19:50Z"
"spotify:track:0WSTInLqMrT9po0LAHpZCJ","UN Village","spotify:artist:4ufh0WuMZh6y4Dmdnklvdl","BAEKHYUN","spotify:album:6AeMj5CMeTXRGhmUuv0LH3","City Lights - The 1st Mini Album","spotify:artist:4ufh0WuMZh6y4Dmdnklvdl","BAEKHYUN","2019-07-10","https://i.scdn.co/image/ab67616d0000b2738c0903b4b02840c57f103db4","1","1","235509","https://p.scdn.co/mp3-preview/eee9b9311ebf1bf882a76a3fc34ec222f46b86cf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","KRA301900276","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2022-07-21T04:20:03Z"
"spotify:track:37LGPxmWd0LLKt80PKEDfz","Across the Universe","spotify:artist:6dhfy4ByARPJdPtMyrUYJK","Yerin Baek","spotify:album:3nf5TdSHODl88hYx0EEtmC","FRANK","spotify:artist:6dhfy4ByARPJdPtMyrUYJK","Yerin Baek","2015-11-30","https://i.scdn.co/image/ab67616d0000b273c4e1a24bfbbccacac1b5c41a","1","2","247173","https://p.scdn.co/mp3-preview/adc5811de6e1e6e99a60d0ad7696b6f4b5a6fcbe?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","US5TA1500104","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2022-07-21T04:20:08Z"
"spotify:track:6DA7kCWYMggJjqPM84V2Ng","TOMBOY","spotify:artist:57okaLdCtv3nVBSn5otJkp","HYUKOH","spotify:album:2VDNZYzubQxFNOR3qD1K9B","23","spotify:artist:57okaLdCtv3nVBSn5otJkp","HYUKOH","2017-04-24","https://i.scdn.co/image/ab67616d0000b2736b0b72f94905f2321564a20f","1","4","241692","https://p.scdn.co/mp3-preview/b1d374e53c0626c794da7f531ff24c6901f6a1d7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","KRC081700004","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2022-07-21T04:21:18Z"
"spotify:track:56sU9Hq81aKIXnAl90mocF","BEAUTY","spotify:artist:0BpbTGO68X4wV2aLBzjnhL","LambC","spotify:album:61Te8TXjfT6qOhumVNAcM4","Absence 'Side D'","spotify:artist:0BpbTGO68X4wV2aLBzjnhL","LambC","2018-05-10","https://i.scdn.co/image/ab67616d0000b273ad95752dde677a01c560bf97","1","1","197848","https://p.scdn.co/mp3-preview/d8190936e4319a125e2766832279a1e254b84aed?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","KRNAR1806997","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2022-07-21T04:28:55Z"
"spotify:track:6pm3SR1vvrV54AOJWsN7y7","It's You (Feat. ZICO)","spotify:artist:4BBN286rBKyCWsSPq2cxYO, spotify:artist:4XpUIb8uuNlIWVKmgKZXC0","Sam Kim, ZICO","spotify:album:0AsQlY5YENtlvd8SLnrSxX","Sun And Moon","spotify:artist:4BBN286rBKyCWsSPq2cxYO","Sam Kim","2018-11-22","https://i.scdn.co/image/ab67616d0000b2738368fc4dff4622c0e00e6dbf","1","2","257631","https://p.scdn.co/mp3-preview/b4b8bf90d432483fc34d73c5b8133cd3773c0377?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","KRA381802013","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2022-07-21T04:29:12Z"
